日期,場次,現有地點,距離km,缺口狀態,Notion連結
2018-10-14,"2018旅人｜《看得見的鄉愁，龜山島人的海風歲月》","",,全空待補,https://www.notion.so/1029ff25fdab81b596c6c838cdd95f50
2018-10-14,"達人帶路舊城散步02（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80f18abee56e87562bb5
2018-10-14,"2017旅人｜舊城－深溝文史生態漫漫走（旅人書店x小間書菜）","",,全空待補,https://www.notion.so/1a69ff25fdab80f4a302c73adc3750aa
2017-08-28,"宜蘭漫遊舊城散步08（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80999217dec305b5b04f
2017-08-28,"宜蘭漫遊舊城散步09（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab8086a33feca3e4bbbcaf
2017-08-05,"宜蘭漫遊舊城散步06（方子維）","",,全空待補,https://www.notion.so/1ff9ff25fdab808c8282ce4ff12bfb60
2017-07-25,"宜蘭漫遊舊城散步05（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80aba890f49d1e91e942
2017-07-22,"宜蘭漫遊舊城散步04（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80eb9fbbd4db8f0eaa62
2017-07-16,"宜蘭漫遊舊城散步03（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80b5a8a8f6b52aeb8909
2017-07-08,"宜蘭慢遊 舊城散步07（林正芳）","",,全空待補,https://www.notion.so/1ff9ff25fdab800d8627ef2d3a09824e
2017-07-04,"宜蘭慢遊 舊城散步02（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80ad9cfdf170cf4b99e1
2017-07-03,"宜蘭慢遊 舊城散步02（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80d98aebdfb052748bd3
2017-07-02,"走宜蘭慢遊 舊城散步01（林正芳）","",,全空待補,https://www.notion.so/1ff9ff25fdab808f9267e7d2f740814d
2015-11-09,"舊城亂走團06","",,全空待補,https://www.notion.so/1ff9ff25fdab80cea138f23e0e4b3a87
2015-10-04,"舊城亂走團05","",,全空待補,https://www.notion.so/1ff9ff25fdab806594c9d248b4d9b397
2015-07-31,"舊城亂走團04","",,全空待補,https://www.notion.so/1ff9ff25fdab80c2be65dcd6c57e6099
2015-06-08,"舊城亂走團03","",,全空待補,https://www.notion.so/1ff9ff25fdab80b9912ce74f592c27a2
2015-04-19,"舊城亂走團02","",,全空待補,https://www.notion.so/1ff9ff25fdab80d18f48c6ae5b795845
2015-02-05,"舊城亂走團01","",,全空待補,https://www.notion.so/1ff9ff25fdab804a8edcf214d7fe0edf
(無日期),"114林場｜林場走讀01場","",,全空待補,https://www.notion.so/2099ff25fdab80608ee7fb7674cf00dc
(無日期),"宜日旅人04場｜2025現思","",,全空待補,https://www.notion.so/24c9ff25fdab80e5b582e628369d5b7c
(無日期),"宜日旅人03場｜2025現思","",,全空待補,https://www.notion.so/24c9ff25fdab80e59e1cfec7b851eb7f
(無日期),"114林場｜林場走讀02場","",,全空待補,https://www.notion.so/2099ff25fdab809e9b67c787cd150c52
(無日期),"宜日旅人05場｜2025現思","",,全空待補,https://www.notion.so/24c9ff25fdab8074b204c7297a4dc640
(無日期),"走讀09場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80d3bfbdeffdc3ab9c18
